Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area_3,Wilderness_Area_4,Soil_Type_1,Soil_Type_2,Soil_Type_3,Soil_Type_4,Soil_Type_5,Soil_Type_6,Soil_Type_10,Soil_Type_11,Soil_Type_13,Soil_Type_14,Soil_Type_16,Soil_Type_17,Soil_Type_20,Soil_Type_32,Soil_Type_33,Cover_Type
2435,302,25,443,198,757,143,219,213,342,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
2417,167,13,330,73,1034,230,244,144,1410,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
2721,144,19,309,87,2529,243,233,111,2207,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
2497,101,20,85,24,1630,248,210,81,636,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
1987,130,19,120,11,175,247,226,100,514,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
2563,164,33,330,-36,418,229,228,102,1061,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
2451,51,26,192,-6,808,222,174,70,819,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
2727,76,11,268,88,2581,234,220,117,1054,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2738,37,7,255,54,1581,220,224,140,2081,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
2378,307,28,268,169,1266,134,211,212,904,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
2374,58,16,306,64,451,230,204,102,518,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
2444,283,28,277,1,361,131,228,230,1809,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
2481,172,18,0,0,1265,229,245,141,524,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
2539,130,22,42,17,1523,249,222,89,1440,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
2609,239,13,424,134,2244,195,251,193,376,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2289,281,29,90,51,806,130,228,231,666,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
2122,20,37,234,172,258,170,138,82,218,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
2308,313,15,42,10,450,177,227,190,882,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
2218,332,18,120,26,1074,174,213,177,342,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
2499,71,18,108,24,1082,237,202,89,967,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
2092,271,39,162,69,350,95,220,247,525,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
2549,135,4,618,15,911,226,238,146,1140,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2693,106,17,192,44,2315,247,216,92,2495,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
2424,219,9,30,-1,1776,210,249,175,192,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2579,101,11,30,-4,1461,239,225,115,1200,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2699,156,9,150,21,2038,231,241,142,1681,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
2469,100,18,258,82,750,247,212,88,268,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2363,333,33,247,167,811,128,179,179,1518,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
2328,333,10,153,49,417,197,228,169,569,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
2346,124,21,30,5,309,250,220,87,751,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
