Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area_3,Wilderness_Area_4,Soil_Type_1,Soil_Type_2,Soil_Type_3,Soil_Type_4,Soil_Type_5,Soil_Type_6,Soil_Type_10,Soil_Type_11,Soil_Type_13,Soil_Type_14,Soil_Type_16,Soil_Type_17,Soil_Type_20,Soil_Type_32,Soil_Type_33,Cover_Type
2000,318,7,30,4,108,201,234,172,268,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2003,355,6,0,0,127,211,230,157,283,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2004,47,8,0,0,150,223,223,135,300,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2006,73,11,0,0,170,233,218,115,319,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2010,70,23,0,0,212,238,188,69,361,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
2005,29,6,0,0,297,218,226,144,376,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2013,58,23,0,0,319,230,186,78,402,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2008,36,2,0,0,361,219,234,152,418,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2023,83,29,30,15,361,245,176,0,457,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
2011,58,9,0,0,382,227,222,129,446,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2037,29,24,0,0,582,204,182,104,485,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
2022,19,14,30,6,446,209,210,136,495,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
2018,27,9,0,0,467,217,221,140,488,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
2014,59,4,0,0,488,223,231,143,484,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2034,55,22,30,-2,547,228,188,83,524,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
2023,229,4,0,0,488,213,244,168,551,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2030,18,18,42,12,467,203,199,128,524,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
2020,358,25,0,0,531,174,186,143,511,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
2028,22,12,30,5,484,212,214,137,577,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
2040,358,24,60,22,509,176,188,144,547,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
2036,39,16,42,9,481,219,203,114,604,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
2032,31,10,30,5,451,218,218,135,618,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2041,61,16,30,5,480,232,204,100,631,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
2036,49,9,0,0,450,224,220,129,644,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2044,92,15,30,8,480,242,215,98,658,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2039,128,13,0,0,480,242,231,116,674,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2041,112,25,30,2,510,253,203,62,685,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2039,88,25,30,6,511,248,189,0,671,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2030,121,4,0,0,481,227,236,144,644,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2042,79,28,30,12,514,243,176,0,658,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2046,84,29,30,16,518,246,177,39,646,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2032,81,10,0,0,488,234,222,118,618,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2045,108,24,30,10,541,252,206,68,618,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2037,126,17,0,0,552,246,226,103,612,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2038,137,19,30,1,591,246,229,104,636,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2040,288,7,30,-3,716,201,240,178,684,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2050,287,21,42,12,691,159,234,214,663,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2046,101,17,0,0,782,246,214,90,618,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2041,61,6,0,0,757,225,228,137,648,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2054,176,7,0,0,895,224,244,154,323,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2062,199,29,0,0,966,197,250,170,408,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2046,98,10,0,0,799,237,225,118,612,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2046,3,5,30,0,774,214,231,155,641,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2059,128,22,0,0,841,250,220,87,228,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2055,108,2,0,0,865,221,237,151,256,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2062,357,20,30,7,914,184,199,149,313,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2053,135,2,0,0,984,222,238,151,400,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2055,198,15,0,0,967,214,252,169,430,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2044,139,5,0,0,816,228,238,144,607,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2048,284,4,30,2,792,209,240,169,636,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2048,297,10,60,2,768,193,237,184,666,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2056,56,7,0,0,858,225,226,135,218,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2062,322,21,30,3,882,162,214,189,247,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2053,48,11,30,0,983,224,215,123,424,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2049,180,7,0,0,957,223,244,156,454,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2055,164,19,30,1,907,234,242,131,514,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2044,270,2,0,0,834,214,239,163,603,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2052,307,14,42,0,787,180,231,190,663,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2067,103,21,0,0,853,250,208,76,182,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
