Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area_3,Soil_Type_1,Soil_Type_2,Soil_Type_3,Soil_Type_4,Soil_Type_5,Soil_Type_6,Soil_Type_10,Soil_Type_11,Soil_Type_13,Soil_Type_14,Soil_Type_16,Soil_Type_17,Soil_Type_20,Cover_Type
2075.8394744583775,-125.85098019321822,14.39889363884254,291.17099675563657,36.88995842386113,232.03666202847023,218.86031905977347,193.45167776397574,177.23214525655806,275.0675854240434,0.010245343110039662,0,0,1,0,0,0,1,0,0,0,0,1,0,4
2225.5435395798218,189.27579160410738,15.332274126285537,58.82218182013861,17.130955602785427,719.8264168665476,223.5066965195333,188.2471948172057,70.99866816450734,772.9831395928871,0.05648472731257814,1,0,0,0,0,0,0,0,0,0,0,1,0,4
2315.4673066307005,289.4803864279333,21.947326083082284,49.27805840605657,143.7102614992395,494.9530621017547,227.22120435331834,242.8627873117268,89.71539770003781,1421.7767095445624,-0.006021984542782521,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2270.4352089907775,186.07072724946875,24.982956801479453,9.33462063675546,88.88183669369873,401.029297204003,190.13582315160252,201.70543755117387,150.9380287070945,879.7701389345444,0.010360379951192933,0,0,1,1,0,0,0,0,0,0,0,1,0,4
2139.486510797812,212.78845531540404,21.135855321167906,191.39227515358715,105.59343350685926,1214.5436488994028,200.12376012040724,200.39902417655713,164.75271379370366,401.77671576218955,-0.010453397403622944,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2275.2604581360565,177.1825497687135,12.542890250740166,146.13916904011361,179.72941336717918,1241.457457832821,180.22280140017216,230.38838272874872,54.381864198132234,2166.299856113123,-0.0023256372176282958,0,0,1,0,1,0,0,0,0,0,0,1,0,4
2071.7685968224996,165.0859725755915,11.278808845922454,-0.5534605623765003,135.14409356847187,329.6890985604516,226.51520705314775,172.27772974569322,182.54876411619026,1567.1895056068029,0.0042427896535151555,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2045.5667857256433,99.36799131307605,15.32495709968467,26.958112898523183,-64.99563942813316,1219.3966253422918,213.0494326773512,194.02130728586008,88.9268043541351,375.91441858120777,0.029031778379446482,0,0,1,0,0,0,0,0,0,0,0,1,0,4
2335.167366185566,78.81467719539702,29.979897013664054,232.20295219475102,153.4732070293623,968.1776995182179,202.23068723187134,220.08121613650226,100.89975793486065,1046.481443839022,-0.0003337766559382005,0,0,0,0,0,1,0,0,0,1,0,0,0,4
2292.8258889252515,122.54295137513719,20.444570124935456,261.4966165976293,-31.648223954517356,658.7408131353473,238.5260846272557,228.0377511844933,100.2143041000719,1539.6507422965146,0.0333705935076572,0,0,1,0,0,1,0,0,0,0,0,1,0,4
